1,1,How do you say 'How are you' if you talk to your friend?,b,ça va ?
1,2,How do you say 'What's up?' if you talk to your friend?,b,quoi de neuf ?
1,3,First time you meet someone you say...,b,enchanté
1,4,"When you go to a bar at night, the waiter tell you...",a,bonsoir
1,5,You go to bakery what do you say first of all?,b,bonjour
1,6,"You want to say 'hi' to your friend, what do you use?",b,salut
1,7,"You text your firend, what do you write to say 'hi'?",c,coucou
1,8,First time you meet someone you say...,a,enchanté
1,9,"You want say ""hey"", you say...",b,coucou
1,10,"You want to say ""how are you?"" in a formal way, you say...",b,comment allez-vous?
2,11,"You want to apologize, you say...",a,je suis désolé
2,12,"You want to ask someone do something for you in a formal way, you will use ...",b,veuillez + verbe
2,13,How do you say 'subway' in french ?,b,métro
2,14,What is the verb used to say 'to stop / get off' from train or bus?,b,descendre
2,15,How do you say 'here'?,b,ici
2,16,Subway is .... in French,b,métro
2,17,Please do + st' is .... in French,c,veuillez + verbe
2,18,You wanna apologize you say?,c,je suis désolé
2,19,In the subway you can say : 'Je vais .... ici.',d,descendre
2,20,Here' in French is...,b,ici
3,21,to like / love is ... in French,c,aimer
3,22,How to say 'drama' in French?,c,théâtre
3,23,J'aime... le Français.,c,étudier
3,24,How to say 'to read' in French?,a,lire
3,25,How to say 'to ride bike' in French?,b,faire du vélo
3,26,How to say 'good' in French?,d,bien
3,27,Je vais à la mer...les vacances.,d,pendant
3,28,J'aime... le Français.,c,étudier
3,29,How do you say 'spare time' in French?,c,temps libre
4,30,My name is / I am = ,b,Je m'appelle
4,31,How do you say 'me too' in French?,b,Moi aussi
4,32,Give me a synonyme of  'de mon point de vue',a,à mon avis
4,33,How do you say 'From my point of view' in French?,a,De mon point de vue
4,34,C'est ...,c,vrai
4,35,"Je dois manger', what is the verb in this sentence ?",b,devoir
4,36,How do you say 'From my point of view' in French?,b,De mon point de vue
4,37,How to say 'more' in French?,d,davantage
4,38,How do you say 'me too' in French?,d,Moi aussi
4,39,I think that =,d,je pense que
4,40,I have the feeling that =,d,j'ai l'impression que
5,41,A boss is ... in French,d,un patron
5,42,How do you say colleagues in French?,d,collègues de bureau
5,43,a customer = ,d,un client
5,44,"Il fait beau, je vais ...",c,partir à la mer
5,45,"How do you say ""a week"" in French?",c,la semaine
5,46,afternoon = ,d,après midi
5,47,an office =,c,un bureau
5,48,How do you say colleagues in French?,d,un/une collègue
5,49,Tomorrow' is ... in French,a,demain
5,50,How do you say colleagues in French?,b,collègues de bureau
6,51,blue =,c,bleu
6,52,a car =,a,une voiture
6,53,Les pommes sont...,d,vertes
6,54,Les chemises sont...,b,rouges
6,55,Ces pantalons sont...,d,verts
6,56,Le ciel est ...,b,bleu
6,57,Ces voitures sont...,b,vertes
6,58,Cette pomme est...,a,rouge
6,59,A pen =...,b,un crayon
6,60,Ces voitures sont ...,c,bleues
7,61,"I met you for the first time, i say .. ",a,enchanté
7,62,To ask something you wish in the polite way,d,je souhaiterais
7,63,When you can not find your way easily you have a...,b,un mauvais sens de l'orientation
7,64,Could you =,a,pourriez-vous
7,65,To ask something you wish in the polite way,a,je souhaiterais
7,66,When someone tell you 'Merci' you can reply...,b,De rien
7,67,Indicate = ,c,indiquer
7,68,When you always find your way so easily you have a...,c,un bon sens de l'orientation
7,69,Could you =...,b,pourriez-vous
7,70,More = ...,c,davantage
8,71,A fire = ...,b,un incendie
8,72,nobody = ...,b,personne
8,73,"How to say 'What happened?"" in French?",c,Que s'est-il passé?
8,74,someone = ...,c,une personne
8,75,nobody = ...,b,personne
8,76,"How to say 'What happened?"" in French?",b,Qu'est-il arrivé ?
8,77,A fire = ...,b,un incendie
8,78,Give me a synonyme of  'de mon point de vue',d,à mon avis
8,79,A fire = ...,c,un incendie
8,80,To ask something you wish in the polite way,d,je souhaiterais